Model,Metric,Mean,95% CI Lower,95% CI Upper
Random Forest,ROC_AUC,0.9528580404613136,0.9167643646152419,0.9801473501925768
Random Forest,ACCURACY,0.899439393939394,0.8585858585858586,0.9393939393939394
Random Forest,PRECISION,0.9543688849225853,0.9047619047619048,0.989136216466235
Random Forest,RECALL,0.836659895972055,0.7595905172413793,0.9020181476846058
Random Forest,F1,0.8911612801229448,0.8433565723568432,0.9346760978807078
XGBoost,ROC_AUC,0.9528751633132658,0.9171784979423867,0.9796255437460385
XGBoost,ACCURACY,0.8997171717171718,0.8535353535353535,0.9393939393939394
XGBoost,PRECISION,0.9067712169370553,0.8431262392597488,0.959193980622552
XGBoost,RECALL,0.8885435416098266,0.821005039193729,0.9473684210526315
XGBoost,F1,0.8971066494224107,0.8457142857142856,0.9392458563535911
MLP,ROC_AUC,0.9256354418644526,0.8814318647595759,0.9627461040355267
MLP,ACCURACY,0.8895858585858587,0.8434343434343434,0.9343434343434344
MLP,PRECISION,0.8660267003120649,0.8,0.9327083333333334
MLP,RECALL,0.9188055270306581,0.8541666666666666,0.969395485466914
MLP,F1,0.8911383059666156,0.8410227272727274,0.9339634613542764
Linear SVM,ROC_AUC,0.8898594750181774,0.8373539947894052,0.9331245650266279
Linear SVM,ACCURACY,0.8047626262626262,0.7474747474747475,0.8585858585858586
Linear SVM,PRECISION,0.8118739151099638,0.7340425531914894,0.8910891089108911
Linear SVM,RECALL,0.7875909850178688,0.7010285191251565,0.8660863095238095
Linear SVM,F1,0.7987473007384776,0.7292817679558011,0.8571754729288976
