Model,Metric,Mean,95% CI Lower,95% CI Upper
Random Forest,ROC_AUC,0.9528580404613136,0.9167643646152419,0.9801473501925768
Random Forest,ACCURACY,0.9039848484848485,0.8535353535353535,0.9393939393939394
Random Forest,PRECISION,1.0,1.0,1.0
Random Forest,RECALL,0.805906481672195,0.7199611650485437,0.8750297619047619
Random Forest,F1,0.8919915193367204,0.8371830245697017,0.9333502538071066
XGBoost,ROC_AUC,0.9528751633132658,0.9171784979423867,0.9796255437460385
XGBoost,ACCURACY,0.9148030303030302,0.8737373737373737,0.9494949494949495
XGBoost,PRECISION,0.9555931285729135,0.9090909090909091,0.9893645016797313
XGBoost,RECALL,0.8680806173654173,0.793796658371845,0.9306930693069307
XGBoost,F1,0.909291660314091,0.8603321919865441,0.9484631982737953
MLP,ROC_AUC,0.9256354418644526,0.8814318647595759,0.9627461040355267
MLP,ACCURACY,0.8794747474747473,0.8282828282828283,0.9191919191919192
MLP,PRECISION,0.8634184794420648,0.7960665334094803,0.9313892061679041
MLP,RECALL,0.8983981153822336,0.8315789473684211,0.9524140211640211
MLP,F1,0.8800079451939593,0.826285976729945,0.9251167072128345
Linear SVM,ROC_AUC,0.8898594750181774,0.8373539947894052,0.9331245650266279
Linear SVM,ACCURACY,0.8502474747474748,0.797979797979798,0.898989898989899
Linear SVM,PRECISION,0.9168076647201994,0.8552583905415713,0.975316169828365
Linear SVM,RECALL,0.7667895855163183,0.6746734305643627,0.8490667478190302
Linear SVM,F1,0.8343479740504671,0.7691860465116278,0.8901751727054843
