# SignalP-6.0	Organism: Other	Timestamp: 20250902191814
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
HQ147786.1_1	OTHER	0.999321	0.000684	0.000019	0.000001	0.000001	0.000002	
HQ147786.1_1_2	OTHER	0.999321	0.000684	0.000019	0.000001	0.000001	0.000002	
k141_1119381_10	SP	0.001017	0.903850	0.094276	0.000333	0.000268	0.000226	CS pos: 25-26. Pr: 0.8214
k141_444262_3	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
k141_675522_21	OTHER	0.999986	0.000048	0.000001	0.000000	0.000000	0.000000	
k141_1355790_16	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
k141_119030_12	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
k141_1207925_4	OTHER	0.805904	0.190835	0.001833	0.000535	0.000289	0.000615	
k141_322214_2	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
k141_20431_23	OTHER	1.000000	0.000009	0.000000	0.000000	0.000000	0.000000	
